aclinez,acliney,   3 ,   6 
 3;(  1.71120302385743E-001    4.09266032499998E-001);(  5.87479170475959E-002    1.90873735523879E-001);(  5.78212585286795E-002    1.46693181949220E-001);(  5.87479170475959E-002    1.90873735523879E-001);(  1.74530009569990E-001    3.97809456621487E-001);(  5.95199591601698E-002    1.61287103467569E-001);(  5.78212585286795E-002    1.46693181949220E-001);(  5.95199591601698E-002    1.61287103467569E-001);(  1.72593788874051E-001    4.04288414431982E-001) , 3;(  1.71120302385743E-001    4.09267108316812E-001);(  5.87479170475958E-002    1.90873388339342E-001);(  5.78212585286795E-002    1.46693049625325E-001);(-1.71120302385743E-001  -4.09266032499998E-001);(-5.87479170475958E-002  -1.90873735523879E-001);(-5.78212585286795E-002  -1.46693181949220E-001);(  5.87479170475958E-002    1.90873388339342E-001);(  1.74530009569990E-001    3.97810590122579E-001);(  5.95199591601698E-002    1.61286882765919E-001);(-5.87479170475958E-002  -1.90873735523879E-001);(-1.74530009569990E-001  -3.97809456621486E-001);(-5.95199591601698E-002  -1.61287103467569E-001);(  5.78212585286795E-002    1.46693049625325E-001);(  5.95199591601698E-002    1.61286882765919E-001);(  1.72593788874051E-001    4.04289437291741E-001);(-5.78212585286795E-002  -1.46693181949220E-001);(-5.95199591601698E-002  -1.61287103467569E-001);(-1.72593788874051E-001  -4.04288414431982E-001);(-1.71120302385743E-001  -4.09266032499998E-001);(-5.87479170475958E-002  -1.90873735523879E-001);(-5.78212585286795E-002  -1.46693181949220E-001);(  1.71120302385743E-001    4.09267108316812E-001);(  5.87479170475958E-002    1.90873388339342E-001);(  5.78212585286795E-002    1.46693049625325E-001);(-5.87479170475958E-002  -1.90873735523879E-001);(-1.74530009569990E-001  -3.97809456621486E-001);(-5.95199591601698E-002  -1.61287103467569E-001);(  5.87479170475958E-002    1.90873388339342E-001);(  1.74530009569990E-001    3.97810590122579E-001);(  5.95199591601698E-002    1.61286882765919E-001);(-5.78212585286795E-002  -1.46693181949220E-001);(-5.95199591601698E-002  -1.61287103467569E-001);(-1.72593788874051E-001  -4.04288414431982E-001);(  5.78212585286795E-002    1.46693049625325E-001);(  5.95199591601698E-002    1.61286882765919E-001);(  1.72593788874051E-001    4.04289437291741E-001) ,   9 ,   12 
 3;(  2.13900377982179E-001    5.11582540624998E-001);(  7.34348963094948E-002    2.38592169404849E-001);(  7.22765731608493E-002    1.83366477436525E-001);(  7.34348963094948E-002    2.38592169404849E-001);(  2.18162511962488E-001    4.97261820776858E-001);(  7.43999489502123E-002    2.01608879334461E-001);(  7.22765731608493E-002    1.83366477436525E-001);(  7.43999489502123E-002    2.01608879334461E-001);(  2.15742236092563E-001    5.05360518039977E-001) , 3;(  2.13900377982179E-001    5.11583885396015E-001);(  7.34348963094948E-002    2.38591735424178E-001);(  7.22765731608493E-002    1.83366312031656E-001);(-2.13900377982179E-001  -5.11582540624998E-001);(-7.34348963094948E-002  -2.38592169404849E-001);(-7.22765731608493E-002  -1.83366477436525E-001);(  7.34348963094948E-002    2.38591735424178E-001);(  2.18162511962488E-001    4.97263237653224E-001);(  7.43999489502122E-002    2.01608603457399E-001);(-7.34348963094948E-002  -2.38592169404849E-001);(-2.18162511962488E-001  -4.97261820776858E-001);(-7.43999489502122E-002  -2.01608879334461E-001);(  7.22765731608493E-002    1.83366312031656E-001);(  7.43999489502122E-002    2.01608603457399E-001);(  2.15742236092563E-001    5.05361796614676E-001);(-7.22765731608493E-002  -1.83366477436525E-001);(-7.43999489502122E-002  -2.01608879334461E-001);(-2.15742236092563E-001  -5.05360518039977E-001);(-2.13900377982179E-001  -5.11582540624998E-001);(-7.34348963094948E-002  -2.38592169404849E-001);(-7.22765731608493E-002  -1.83366477436525E-001);(  2.13900377982179E-001    5.11583885396015E-001);(  7.34348963094948E-002    2.38591735424178E-001);(  7.22765731608493E-002    1.83366312031656E-001);(-7.34348963094948E-002  -2.38592169404849E-001);(-2.18162511962488E-001  -4.97261820776858E-001);(-7.43999489502122E-002  -2.01608879334461E-001);(  7.34348963094948E-002    2.38591735424178E-001);(  2.18162511962488E-001    4.97263237653224E-001);(  7.43999489502122E-002    2.01608603457399E-001);(-7.22765731608493E-002  -1.83366477436525E-001);(-7.43999489502122E-002  -2.01608879334461E-001);(-2.15742236092563E-001  -5.05360518039977E-001);(  7.22765731608493E-002    1.83366312031656E-001);(  7.43999489502122E-002    2.01608603457399E-001);(  2.15742236092563E-001    5.05361796614676E-001) ,,
